filename,pred
Project/val/Guitar/Guitar_35.npz,5
Project/val/Guitar/Guitar_21.npz,5
Project/val/Guitar/Guitar_20.npz,5
Project/val/Guitar/Guitar_34.npz,5
Project/val/Guitar/Guitar_22.npz,5
Project/val/Guitar/Guitar_36.npz,5
Project/val/Guitar/Guitar_37.npz,5
Project/val/Guitar/Guitar_23.npz,5
Project/val/Guitar/Guitar_9.npz,5
Project/val/Guitar/Guitar_27.npz,5
Project/val/Guitar/Guitar_33.npz,5
Project/val/Guitar/Guitar_32.npz,5
Project/val/Guitar/Guitar_26.npz,5
Project/val/Guitar/Guitar_8.npz,5
Project/val/Guitar/Guitar_30.npz,5
Project/val/Guitar/Guitar_24.npz,5
Project/val/Guitar/Guitar_18.npz,5
Project/val/Guitar/Guitar_19.npz,5
Project/val/Guitar/Guitar_25.npz,5
Project/val/Guitar/Guitar_31.npz,5
Project/val/Guitar/Guitar_123.npz,5
Project/val/Guitar/Guitar_95.npz,5
Project/val/Guitar/Guitar_81.npz,5
Project/val/Guitar/Guitar_56.npz,5
Project/val/Guitar/Guitar_42.npz,5
Project/val/Guitar/Guitar_43.npz,5
Project/val/Guitar/Guitar_57.npz,5
Project/val/Guitar/Guitar_136.npz,5
Project/val/Guitar/Guitar_80.npz,5
Project/val/Guitar/Guitar_94.npz,5
Project/val/Guitar/Guitar_122.npz,5
Project/val/Guitar/Guitar_108.npz,5
Project/val/Guitar/Guitar_82.npz,5
Project/val/Guitar/Guitar_134.npz,5
Project/val/Guitar/Guitar_120.npz,5
Project/val/Guitar/Guitar_96.npz,8
Project/val/Guitar/Guitar_69.npz,5
Project/val/Guitar/Guitar_41.npz,5
Project/val/Guitar/Guitar_55.npz,5
Project/val/Guitar/Guitar_54.npz,5
Project/val/Guitar/Guitar_40.npz,5
Project/val/Guitar/Guitar_68.npz,5
Project/val/Guitar/Guitar_97.npz,5
Project/val/Guitar/Guitar_121.npz,5
Project/val/Guitar/Guitar_135.npz,5
Project/val/Guitar/Guitar_83.npz,5
Project/val/Guitar/Guitar_109.npz,5
Project/val/Guitar/Guitar_87.npz,5
Project/val/Guitar/Guitar_131.npz,5
Project/val/Guitar/Guitar_125.npz,5
Project/val/Guitar/Guitar_93.npz,5
